Gender Affil Ideology
F D     1
F D 1
F D   1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 1
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 2
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 3
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 4
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F D 5
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 1
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 2
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 3
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
F R 4
